id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1604593597457670144,1604593597457670144,2022-12-18 21:45:00 UTC,2022-12-18,21:45:00,+0000,85537477,bolanet,Bola,,"Gareth Southgate Tetap Jadi Pelatih Timnas Inggris, Legenda MU: Itu Keputusan Tepat! #EMTEKWORLDCUP2022 #BOLANETWORLDCUP2022 #PialaDunia #PialaDunia2022  https://t.co/52VLr4itA5",in,[],['https://bit.ly/3YAPbHl'],[],0,0,3,"['emtekworldcup2022', 'bolanetworldcup2022', 'pialadunia', 'pialadunia2022']",[],https://twitter.com/Bolanet/status/1604593597457670144,False,,0,,,,,,,,[],,,,
1604593353206947840,1604593353206947840,2022-12-18 21:44:01 UTC,2022-12-18,21:44:01,+0000,3258657344,koruptorbejato,koruptor,,"Semua negara ingin seperti Argentina yg juara piala dunia 2022, pemainnya diarak dijalan-jalan Qatar dan dielu-elukan.",in,[],[],[],0,0,0,[],[],https://twitter.com/koruptorbejato/status/1604593353206947840,False,,0,,,,,,,,[],,,,
1604592471509725185,1604592471509725185,2022-12-18 21:40:31 UTC,2022-12-18,21:40:31,+0000,1368599828960178181,tarosl0t,Ersya Taroslot,,KUIS TEBAK SKOR PIALA DUNIA QATAR 2022 JUARA I Hadiah 100% Dari Total Betting Pada Pertandingan Yang Di Lombakan ( max 200.000 ) JUARA II Hadiah 50% Dari Total Betting Pada Pertandingan Yang Di Lombakan ( max 100.000 ) #EventTaroSlot  https://t.co/tOjSzW9TVj,in,[],[],['https://pbs.twimg.com/media/FkSoPtbaAAA3hjD.jpg'],0,0,0,['eventtaroslot'],[],https://twitter.com/tarosl0t/status/1604592471509725185,False,,1,https://pbs.twimg.com/media/FkSoPtbaAAA3hjD.jpg,,,,,,,[],,,,
1604592114322788353,1604592114322788353,2022-12-18 21:39:06 UTC,2022-12-18,21:39:06,+0000,1301138841776996352,tehkitaaja,Rendy_As ✪,,Presiden FIFA Sebut Piala Dunia 2022 Qatar Terbaik Sepanjang Sejarah  https://t.co/GsUSRtwD3f,in,[],[],['https://pbs.twimg.com/media/FkSoBjbakAAiRo1.jpg'],0,0,0,[],[],https://twitter.com/TehKitaAja/status/1604592114322788353,False,,1,https://pbs.twimg.com/media/FkSoBjbakAAiRo1.jpg,,,,,,,[],,,,
1604591755751739394,1604591740408991745,2022-12-18 21:37:41 UTC,2022-12-18,21:37:41,+0000,488937011,antartlka,zulfan / jupo,,"2. LGBT Selain isu pekerja, isu LGBT juga ngga kalah rame digemakan di Piala Dunia 2022 Qatar. Sebagai negara Islam, Qatar ngga memperbolehkan atribut LGBT buat dipamerkan secara publik.  https://t.co/F9WG9V6TCP",in,[],[],"['https://pbs.twimg.com/media/FkScUinaMAAHaCB.jpg', 'https://pbs.twimg.com/media/FkScfNVakAAw2xn.jpg']",1,0,1,[],[],https://twitter.com/antartlka/status/1604591755751739394,False,,1,https://pbs.twimg.com/media/FkScUinaMAAHaCB.jpg,,,,,,,[],,,,
1604591748311056384,1604591740408991745,2022-12-18 21:37:39 UTC,2022-12-18,21:37:39,+0000,488937011,antartlka,zulfan / jupo,,1. Isu Pekerja Piala Dunia 2022 Qatar sempet di-cancel oleh banyak pihak utamanya karena isu pekerja. The Guardian ngeberitain kalo lebih dari 6500 pekerja migran sudah meninggal di Qatar sejak pertama kali dia dapet bidding tuan rumah Piala Dunia  https://t.co/8MMpYRmCcD,in,[],[],"['https://pbs.twimg.com/media/FkSbe8NakAAgRdC.png', 'https://pbs.twimg.com/media/FkSbua6aMAACbvd.jpg']",1,0,0,[],[],https://twitter.com/antartlka/status/1604591748311056384,False,,1,https://pbs.twimg.com/media/FkSbe8NakAAgRdC.png,,,,,,,[],,,,
1604591481712517120,1604591481712517120,2022-12-18 21:36:35 UTC,2022-12-18,21:36:35,+0000,3138075595,newsarrahmah,Arrahmah News,,Pertandingan Dramatis! Argentina Menangkan Piala Dunia Qatar 2022  https://t.co/C44r4bsZMN,in,[],['https://arrahmahnews.com/2022/12/19/pertandingan-dramatis-argentina-menangkan-piala-dunia-qatar-2022/'],[],0,1,1,[],[],https://twitter.com/NewsArrahmah/status/1604591481712517120,False,,0,,,,,,,,[],,,,
1604589823192272896,1604589823192272896,2022-12-18 21:30:00 UTC,2022-12-18,21:30:00,+0000,1486284086,bolacomid,BOLA.COM,,"Dah ya, GOAT milik Messi. Ronaldo kalah jauh...  #EmtekWorldCup2022 #BolacomWorldCup2022 #PialaDunia2022 #PialaDunia   https://t.co/cMOGNM5p8S",in,[],['https://www.bola.com/piala-dunia/read/5157408/reaksi-netizen-setelah-argentina-juara-piala-dunia-2022-debat-goat-selesai-pemenangnya-lionel-messi?utm_source=twitter&utm_medium=post&utm_campaign=twitter_bayu'],[],0,0,1,"['emtekworldcup2022', 'bolacomworldcup2022', 'pialadunia2022', 'pialadunia']",[],https://twitter.com/bolacomID/status/1604589823192272896,False,,0,,,,,,,,[],,,,
1604589385868943360,1604589385868943360,2022-12-18 21:28:16 UTC,2022-12-18,21:28:16,+0000,1181964741855416321,fahmi20126218,Fahmi,,Piala dunia qatar 2022 pererebutan juara 3  https://t.co/se3LjMxQlZ,in,[],[],['https://pbs.twimg.com/media/FkSlinZUoAABrTL.jpg'],0,0,0,[],[],https://twitter.com/Fahmi20126218/status/1604589385868943360,False,,1,https://pbs.twimg.com/media/FkSlinZUoAABrTL.jpg,,,,,,,[],,,,
1604588597746995200,1604588597746995200,2022-12-18 21:25:08 UTC,2022-12-18,21:25:08,+0000,1565838528562352129,herrysu24334740,Herry Susanto,,SELAMAT ! Argentina Juara Piala Dunia 2022 Qatar setelah 36 tahun Argentina juara Piala Dunia 1986 Meksiko.  https://t.co/9ch7kvD548,in,[],[],['https://pbs.twimg.com/media/FkSk0zhaEAALOgg.jpg'],0,0,0,[],[],https://twitter.com/HerrySu24334740/status/1604588597746995200,False,,1,https://pbs.twimg.com/media/FkSk0zhaEAALOgg.jpg,,,,,,,[],,,,
1604588322541948929,1604588322541948929,2022-12-18 21:24:02 UTC,2022-12-18,21:24:02,+0000,55507370,tvonenews,tvOnenews,,Lionel Scaloni Ajak Rakyat Argentina Menikmati Sukses Menjadi Juara Piala Dunia Qatar 2022  https://t.co/pfUppuudRq,in,[],['http://dlvr.it/SfZb5F'],[],0,0,9,[],[],https://twitter.com/tvOneNews/status/1604588322541948929,False,,0,,,,,,,,[],,,,
1604588288379322368,1604588288379322368,2022-12-18 21:23:54 UTC,2022-12-18,21:23:54,+0000,945591801330597892,harus_kamutahu,Harus kamu tahu,,#news #berita #fakta #indonesia #viral #beritaterkini Stadion Piala dunia Qatar 2022 yang dibuat dari bahan bekas  https://t.co/qlaz8Y77py,in,[],['https://bit.ly/3Ox1mA6'],[],0,0,0,"['news', 'berita', 'fakta', 'indonesia', 'viral', 'beritaterkini']",[],https://twitter.com/harus_kamutahu/status/1604588288379322368,False,,0,,,,,,,,[],,,,
1604587760266141696,1604587760266141696,2022-12-18 21:21:48 UTC,2022-12-18,21:21:48,+0000,1491313745015947268,chinzlast,Amelia tasya,,"Situs Judi Online Terpercaya 2x45win winrate 99% , Pelayanan Tercepat Deposit &amp; Withdraw Dengan Bank Online 24 Jam Yuk buruan join dan hub Wa: +85511323603  https://t.co/YiKY19iTfX #slot #slotindonesia #slotgames #slotgacor #slotgacor2022 #PialaDunia #PialaDunia2022  https://t.co/hrByhCgTkX",in,[],['https://boliviaexpedition.com'],['https://pbs.twimg.com/media/FkSkCrgaEAAqEcr.jpg'],1,0,0,"['slot', 'slotindonesia', 'slotgames', 'slotgacor', 'slotgacor2022', 'pialadunia', 'pialadunia2022']",[],https://twitter.com/ChinzLast/status/1604587760266141696,False,,1,https://pbs.twimg.com/media/FkSkCrgaEAAqEcr.jpg,,,,,,,[],,,,
1604587497907900416,1604587497907900416,2022-12-18 21:20:45 UTC,2022-12-18,21:20:45,+0000,50665770,cak_rie,agsa,,SERU !!!!! Final piala dunia 2022 Qatar  Argentina vs Prancis,in,[],[],[],0,0,0,[],[],https://twitter.com/cak_rie/status/1604587497907900416,False,https://twitter.com/beacukaiRI/status/1597798902589448192,0,,,,,,,,[],,,,
1604587441322872832,1604587441322872832,2022-12-18 21:20:32 UTC,2022-12-18,21:20:32,+0000,2447049943,infonusantaraid,Berita Nusantara,,"AKHIR Penantian 36 Tahun, Argentina Juara Piala Dunia 2022 Qatar  https://t.co/3LLXSXab0p",in,[],['http://dlvr.it/SfZZkT'],[],0,0,0,[],[],https://twitter.com/InfoNusantaraID/status/1604587441322872832,False,,0,,,,,,,,[],,,,
1604586656476139520,1604586656476139520,2022-12-18 21:17:25 UTC,2022-12-18,21:17:25,+0000,223476605,tribunjogja,Tribun Jogja,,"AKHIR Penantian 36 Tahun, Argentina Juara Piala Dunia 2022 Qatar  https://t.co/cIjiekwX6f",in,[],['https://bit.ly/3FZ3puf'],[],0,0,0,[],[],https://twitter.com/tribunjogja/status/1604586656476139520,False,,0,,,,,,,,[],,,,
1604586047723016192,1604586047723016192,2022-12-18 21:15:00 UTC,2022-12-18,21:15:00,+0000,1486284086,bolacomid,BOLA.COM,,"Maaf Mbappe, hattrick-mu tak cukup halangi Argentina jadi kampiun Piala Dunia 2022.  #EmtekWorldCup2022 #BolacomWorldCup2022 #PialaDunia2022 #PialaDunia   https://t.co/WH5oWscFcR",in,[],['https://www.bola.com/piala-dunia/read/5157396/foto-hattrick-kylian-mbappe-tak-mampu-halangi-argentina-jadi-kampiun-piala-dunia-2022-melalui-adu-penalti?utm_source=twitter&utm_medium=post&utm_campaign=twitter_bayu'],[],0,0,0,"['emtekworldcup2022', 'bolacomworldcup2022', 'pialadunia2022', 'pialadunia']",[],https://twitter.com/bolacomID/status/1604586047723016192,False,,0,,,,,,,,[],,,,
1604585389829656577,1604585389829656577,2022-12-18 21:12:23 UTC,2022-12-18,21:12:23,+0000,1486284086,bolacomid,BOLA.COM,,Lionel Messi belum akan pensiun setelah juara Piala Dunia 2022.  #EmtekWorldCup2022 #BolacomWorldCup2022 #PialaDunia2022 #PialaDunia   https://t.co/jdyBtL4OmP,in,[],['https://www.bola.com/piala-dunia/read/5157459/masih-terus-lionel-messi-tidak-pensiun-setelah-juara-piala-dunia-2022?utm_source=twitter&utm_medium=post&utm_campaign=twitter_bayu'],[],0,0,0,"['emtekworldcup2022', 'bolacomworldcup2022', 'pialadunia2022', 'pialadunia']",[],https://twitter.com/bolacomID/status/1604585389829656577,False,,0,,,,,,,,[],,,,
1604585213786406914,1604585213786406914,2022-12-18 21:11:41 UTC,2022-12-18,21:11:41,+0000,1576239712376791040,nusatimesid,NusaTimes.id,,"Enzo Fernandez Pemain Muda Terbaik Piala Dunia 2022 Qatar, Berikut Profil dan Statistik Sepanjang Turnamen   Juara Dunia Dybala Saudi Arabia Di Maria Lloris Madrid Aguero Dembele GREATEST OF ALL TIME Messi Emiliano Martinez #FIFAWorldCup    https://t.co/uo1kzglSs2",in,[],['https://www.nusatimes.id/olahraga/pr-7716134297/enzo-fernandez-pemain-muda-terbaik-piala-dunia-2022-qatar-berikut-profil-dan-statistik-sepanjang-turnamen'],[],0,0,0,['fifaworldcup'],[],https://twitter.com/Nusatimesid/status/1604585213786406914,False,,0,,,,,,,,[],,,,
